시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,상봉초등학교,충청북도 청주시 흥덕구 오송읍 상봉길 9,충청북도 청주시 흥덕구 오송읍 상봉리 242-1,36.63825224,127.2861402,청주시,흥덕,Y,3,4~8,2020-07-17
초등학교,서원초교,충청북도 청주시 흥덕구 가로수로 1340-6 (복대동),충청북도 청주시 흥덕구 복대2동 977,36.6325822,127.4418998,청주시,흥덕,Y,19,4~8,2020-07-17
유치원,서원초교 병설 유치원,충청북도 청주시 흥덕구 가로수로 1340-6 (복대동),충청북도 청주시 흥덕구 복대2동 977,36.6325822,127.4418998,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,서촌초교,충청북도 청주시 흥덕구 동촌로 126,충청북도 청주시 흥덕구 서촌동183,36.65056366,127.3994713,청주시,흥덕,Y,3,4~8,2020-07-17
유치원,서촌초교 병설유치원,충청북도 청주시 흥덕구 동촌로 126,충청북도 청주시 흥덕구 서촌동183,36.65056366,127.3994713,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,옥산초등학교,충청북도 청주시 흥덕구 옥산면 옥산시내1길 19,충청북도 청주시 흥덕구 옥산면 오산리 223,36.66331978,127.372843,청주시,흥덕,Y,2,4~8,2020-07-17
유치원,옥산초교 병설유치원,충청북도 청주시 흥덕구 옥산면 옥산시내1길 19,충청북도 청주시 흥덕구 옥산면 오산리 223,36.66331978,127.372843,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,운천초교,충청북도 청주시 흥덕구 무심서로 721 (운천동),충청북도 청주시 흥덕구 운천동543-7,36.65448842,127.4733848,청주시,흥덕,Y,4,4~8,2020-07-17
유치원,운천초교 병설유치원,충청북도 청주시 흥덕구 무심서로 721 (운천동),충청북도 청주시 흥덕구 운천동543-7,36.65448842,127.4733848,청주시,흥덕,Y,,4~8,2020-07-17
유치원,유동유치원,충청북도 청주시 흥덕구 직지대로581번길 33-16 (봉명동),충청북도 청주시 흥덕구 봉명2동 1602-1,36.64507729,127.4567054,청주시,흥덕,Y,2,4~8,2020-07-17
초등학교,창신초교,충청북도 청주시 서원구 1순환로709번길 44 (사창동),충청북도 청주시 서원구 사창동351,36.62931368,127.4644386,청주시,청원,Y,,4~8,2020-07-17
유치원,창신초교 병설유치원,충청북도 청주시 서원구 1순환로709번길 44 (사창동),충청북도 청주시 서원구 사창동351,36.62931368,127.4644386,청주시,청원,Y,3,4~8,2020-07-17
초등학교,풍광초교,충청북도 청주시 흥덕구 풍산로47번길 58 (가경동),충청북도 청주시 흥덕구 가경동1172,36.6298601,127.4352296,청주시,흥덕,Y,7,4~8,2020-07-17
유치원,풍광초교 병설유치원,충청북도 청주시 흥덕구 풍산로47번길 58 (가경동),충청북도 청주시 흥덕구 가경동1172,36.6298601,127.4352296,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,한솔초교,충청북도 청주시 서원구 구룡산로 291 (수곡동),충청북도 청주시 서원구 수곡동322,36.61875729,127.4759923,청주시,상당,Y,3,4~8,2020-07-17
유치원,한솔초교 병설유치원,충청북도 청주시 서원구 구룡산로 291 (수곡동),충청북도 청주시 서원구 수곡동322,36.61875729,127.4759923,청주시,상당,Y,,4~8,2020-07-17
유치원,현대유치원,충청북도 청주시 서원구 성봉로220번길 3 (개신동),충청북도 청주시 서원구 개신동278-10,36.62479074,127.4501596,청주시,흥덕,Y,2,4~8,2020-07-17
초등학교,문의초등학교,충청북도 청주시 상당구 문의면 문의시내1길 28-23,충청북도 청주시 상당구 문의면 미천리 228,36.5186561,127.4935094,청주시,상당,Y,4,4~8,2020-07-17
유치원,문의초교 병설유치원,충청북도 청주시 상당구 문의면 문의시내1길 28-23,충청북도 청주시 상당구 문의면 미천리 228,36.5186561,127.4935094,청주시,상당,Y,,4~8,2020-07-17
초등학교,원봉초교,충청북도 청주시 상당구 월평로153번길 25 (용암동),충청북도 청주시 상당구 용암동 1328,36.61284424,127.5018664,청주시,상당,Y,2,4~8,2020-07-17
유치원,원봉초교 병설유치원,충청북도 청주시 상당구 월평로153번길 25 (용암동),충청북도 청주시 상당구 용암동 1328,36.61284424,127.5018664,청주시,상당,Y,,4~8,2020-07-17
초등학교,가경초교,충청북도 청주시 흥덕구 장구봉로 93 (복대동),충청북도 청주시 흥덕구 복대2동 2443,36.62474317,127.4436214,청주시,흥덕,Y,7,4~8,2020-07-17
유치원,가경초교 병설유치원,충청북도 청주시 흥덕구 장구봉로 93 (복대동),충청북도 청주시 흥덕구 복대2동 2443,36.62474317,127.4436214,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,각리초등학교,충청북도 청주시 청원구 오창읍 오창중앙로 47-8,충청북도 청주시 청원구 오창읍 각리 646-2,36.70658039,127.4246718,청주시,청원,Y,4,4~8,2020-07-17
유치원,각리초교 병설유치원,충청북도 청주시 청원구 오창읍 오창중앙로 47-8,충청북도 청주시 청원구 오창읍 각리 646-2,36.70658039,127.4246718,청주시,청원,Y,,4~8,2020-07-17
초등학교,경덕초교,충청북도 청주시 흥덕구 장구봉로 36 (가경동),충청북도 청주시 흥덕구 가경동1504,36.62107715,127.437832,청주시,흥덕,Y,8,4~8,2020-07-17
유치원,경덕초교 병설유치원,충청북도 청주시 흥덕구 장구봉로 36 (가경동),충청북도 청주시 흥덕구 가경동1504,36.62107715,127.437832,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,경산초교,충청북도 청주시 흥덕구 경산로 82-12 (가경동),충청북도 청주시 흥덕구 가경동1513,36.62535329,127.4404499,청주시,흥덕,Y,4,4~8,2020-07-17
유치원,경산초교 병설유치원,충청북도 청주시 흥덕구 경산로 82-12 (가경동),충청북도 청주시 흥덕구 가경동1513,36.62535329,127.4404499,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,남평초교,충청북도 청주시 서원구 월평로 35 (분평동),충청북도 청주시 서원구 분평동1209,36.61174037,127.4890763,청주시,상당,Y,11,4~8,2020-07-17
유치원,남평초교 병설유치원,충청북도 청주시 서원구 월평로 35 (분평동),충청북도 청주시 서원구 분평동1209,36.61174037,127.4890763,청주시,상당,Y,,4~8,2020-07-17
초등학교,분평초교,충청북도 청주시 서원구 무심서로 205 (분평동),충청북도 청주시 서원구 분평동1198,36.61357664,127.4930673,청주시,상당,Y,7,4~8,2020-07-17
유치원,분평초교 병설유치원,충청북도 청주시 서원구 무심서로 205 (분평동),충청북도 청주시 서원구 분평동1198,36.61357664,127.4930673,청주시,상당,Y,,4~8,2020-07-17
초등학교,사직초교,충청북도 청주시 서원구 남사로 25 (사직동),충청북도 청주시 서원구 사직2동 38-4,36.63097703,127.4776908,청주시,청원,Y,20,4~8,2020-07-17
유치원,사직초교 병설유치원,충청북도 청주시 서원구 남사로 25 (사직동),충청북도 청주시 서원구 사직2동 38-4,36.63097703,127.4776908,청주시,청원,Y,,4~8,2020-07-17
유치원,수림유치원,충청북도 청주시 서원구 구룡산로338번길 8 (수곡동),충청북도 청주시 서원구 수곡동178-16,36.61804019,127.4813268,청주시,상당,Y,6,4~8,2020-07-17
초등학교,원평초교,충청북도 청주시 서원구 원마루로 32 (분평동),충청북도 청주시 서원구 분평동1263,36.61122721,127.4955025,청주시,상당,Y,8,4~8,2020-07-17
유치원,원평초교 병설유치원,충청북도 청주시 서원구 원마루로 32 (분평동),충청북도 청주시 서원구 분평동1263,36.61122721,127.4955025,청주시,상당,Y,,4~8,2020-07-17
초등학교,진흥초교,충청북도 청주시 흥덕구 증안로 107 (복대동),충청북도 청주시 흥덕구 복대1동 3031,36.63604015,127.4347098,청주시,흥덕,Y,2,4~8,2020-07-17
유치원,진흥초교 병설유치원,충청북도 청주시 흥덕구 증안로 107 (복대동),충청북도 청주시 흥덕구 복대1동 3031,36.63604015,127.4347098,청주시,흥덕,Y,3,4~8,2020-07-17
유치원,창성유치원,충청북도 청주시 서원구 용평로 108 (분평동),충청북도 청주시 서원구 분평동596-1,36.60514731,127.4900451,청주시,상당,Y,13,4~8,2020-07-17
초등학교,증안초교,충청북도 청주시 흥덕구 진재로47번길 45 (복대동),충청북도 청주시 흥덕구 복대1동 2610,36.63451514,127.4278226,청주시,흥덕,Y,3,4~8,2020-07-17
유치원,증안초교 병설유치원,충청북도 청주시 흥덕구 진재로47번길 45 (복대동),충청북도 청주시 흥덕구 복대1동 2610,36.63451514,127.4278226,청주시,흥덕,Y,4,4~8,2020-07-17
초등학교,개신초교,충청북도 청주시 서원구 신율로 20 (개신동),충청북도 청주시 서원구 개신동637,36.62027238,127.4487471,청주시,흥덕,Y,4,4~8,2020-07-17
유치원,개신초교 병설유치원,충청북도 청주시 서원구 신율로 20 (개신동),충청북도 청주시 서원구 개신동637,36.62027238,127.4487471,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,동주초교,충청북도 청주시 상당구 호미로 269 (금천동),충청북도 청주시 상당구 금천동 323,36.63028796,127.5100115,청주시,상당,Y,5,4~8,2020-07-17
초등학교,대길초등학교,충청북도 청주시 청원구 북이면 대길길 28-24,충청북도 청주시 청원구 북이면 대길리 28-24,36.73230608,127.5596399,청주시,청원,Y,2,4~8,2020-07-17
초등학교,한국교원대부설초교,충청북도 청주시 흥덕구 강내면 가로수로 562,충청북도 청주시 흥덕구 강내면 월곡리 250,36.62329502,127.3623695,청주시,흥덕,Y,4,4~8,2020-07-17
유치원,한국교원대부설초교병설유치원,충청북도 청주시 흥덕구 강내면 가로수로 562,충청북도 청주시 흥덕구 강내면 월곡리 250,36.62329502,127.3623695,청주시,흥덕,Y,,4~8,2020-07-17
초등학교,산성초교,충청북도 청주시 상당구 호미로 306 (용담동),충청북도 청주시 상당구 용담동438,36.63384824,127.5110815,청주시,상당,Y,5,4~8,2020-07-17
